id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7270,¡¡Great Loft in Palermo Hollywood!!,18822,Toni,,Palermo,-34.58241,-58.43382,Entire home/apt,1930,20,14,2018-04-30,0.15,1,363
11508,Amazing Luxurious Apt-Palermo Soho,42762,Candela,,Palermo,-34.58225,-58.4246,Entire home/apt,3406,2,25,2019-08-13,0.28,1,219
12463,Room in Recoleta - awesome location,48799,Matt,,Recoleta,-34.59761,-58.39468,Private room,1362,1,20,2017-12-11,0.17,1,365
13095,Standard Room at Palermo Viejo B&B,50994,Ariel,,Palermo,-34.59382,-58.42994,Private room,2554,1,1,2018-12-18,0.11,7,365
13096,Standard Room in Palermo Viejo B&B,50994,Ariel,,Palermo,-34.59398,-58.42853,Private room,2554,1,0,,,7,365
13097,Standard Room at Palermo Viejo B&B,50994,Ariel,,Palermo,-34.59381,-58.43007,Private room,2554,1,0,,,7,365
13099,Lofty room in Palermo Viejo B&B,50994,Ariel,,Palermo,-34.59362,-58.42984,Private room,3406,1,0,,,7,365
13100,Master Room in Palermo Viejo B&B,50994,Ariel,,Palermo,-34.59288,-58.4301,Private room,3973,1,1,2017-11-23,0.04,7,365
14222,"RELAX IN HAPPY HOUSE - PALERMO, BUENOS AIRES",55825,Manuel,,Palermo,-34.58777,-58.41106,Entire home/apt,2157,5,86,2019-08-21,0.98,3,354
14711,SPECTACULAR ANCIENT HOUSE,57770,Cintia,,Monserrat,-34.60913,-58.37372,Entire home/apt,6811,1,0,,,1,365
15074,ROOM WITH RIVER SIGHT,59338,Monica,,Nuñez,-34.53724,-58.4658,Private room,1703,29,0,,,1,365
15889,ROOM W /BALCONY-DOWNTOWN ......,62183,Sonia,,Balvanera,-34.6029,-58.4114,Private room,1987,3,6,2014-06-01,0.06,2,365
16695,DUPLEX LOFT 2 - SAN TELMO,64880,Elbio Mariano,,Monserrat,-34.61385,-58.37706,Entire home/apt,3689,1,43,2019-09-01,0.41,11,348
16696,BIGDUPLEX LOFT IN SAN TELMO (3),64880,Elbio Mariano,,Monserrat,-34.61469,-58.37421,Entire home/apt,2838,1,50,2019-07-16,0.46,11,347
16697,Small Duplex Loft in San Telmo (8),64880,Elbio Mariano,,Monserrat,-34.61427,-58.37488,Entire home/apt,2554,1,22,2019-04-16,0.21,11,353
17451,A terrace in Buenos Aires,67732,Karen,,Belgrano,-34.55811,-58.46462,Private room,2157,2,0,,,1,87
17937,RENT APART RECOLETA BS AS,69167,Gabriela,,Monserrat,-34.60962,-58.37326,Private room,2100,1,0,,,4,364
17993,TEMPORARY RENT CUTE APARTMENT IN MICROCENTRO,68689,Maritza,,San Nicolas,-34.60175,-58.3786,Entire home/apt,2554,3,7,2018-08-01,0.07,2,222
18007,apartament in San Telmo,69404,Marcelo,,Monserrat,-34.6154,-58.3778,Entire home/apt,19866,1,0,,,1,365
18061,"Quirky, sunny & spacious - 5 px max",69605,Alejandra,,San Telmo,-34.61986,-58.36947,Entire home/apt,2554,4,144,2019-01-13,1.26,1,114
19583,"Studio in Recoleta , for two people.",74263,Arturo Raul,,Recoleta,-34.59593,-58.39257,Entire home/apt,1930,2,199,2019-07-31,1.94,1,324
20062,PENTHOUSE /Terrace & pool /City views /2bedrooms,75891,Sergio,,Palermo,-34.58079,-58.44203,Entire home/apt,5960,2,208,2019-09-23,1.83,3,141
20429,Hermoso  y acogedor departamento.,77065,Marcelo,,Constitucion,-34.62108,-58.38677,Entire home/apt,1987,15,0,,,1,90
21807,Comfortable apartment in San Telmo,83312,Graciela,,San Telmo,-34.62225,-58.37239,Entire home/apt,2838,6,0,,,2,310
21816,Apartment at Faena Hotel,83130,Marce,,Puerto Madero,-34.61407,-58.36187,Entire home/apt,10217,6,0,,,1,178
21837,Comfortable studio in Callao Avenue,80208,Olga,,Monserrat,-34.60807,-58.37224,Entire home/apt,3406,3,0,,,1,314
23798,"CHIC, LIGHT, SPACIOUS LOFT APPT- SAN TELMO",94615,Nicola,,Monserrat,-34.61495,-58.37319,Entire home/apt,2838,3,45,2019-09-21,0.50,1,30
24157,"Fun, Hip, Friendly San Telmo Loft",97165,Angela,,San Telmo,-34.62057,-58.36765,Entire home/apt,3689,3,93,2018-01-28,0.84,6,179
24713,"BEAUTIFUL, EXCELLENT UBICATION/OBELISK  5 STARS!!!",100743,Griselda,,San Nicolas,-34.6034,-58.37867,Entire home/apt,1987,1,321,2019-08-25,4.05,7,324
24763,Amazing LOFTpalermo: contemporary and cool,101049,Sebastian,,Chacarita,-34.58681,-58.44476,Entire home/apt,3349,10,32,2018-11-08,0.31,1,89
25876,Stylish & Comfortable Apartment,108864,Luis,,San Nicolas,-34.59999,-58.37851,Entire home/apt,2270,3,218,2019-08-28,2.02,1,270
26258,Huge 473sqf Studio @ Palermo University area,111013,Daniel,,Balvanera,-34.5991,-58.41053,Entire home/apt,1987,7,2,2013-10-23,0.02,2,362
26757,"Sunny Terrace, Cozy Loft, Sleeps 4 in San Telmo",97165,Angela,,San Telmo,-34.62199,-58.36883,Entire home/apt,4257,3,78,2019-06-21,0.71,6,142
27562,Modern & comfortable apartment at best location,119120,Julieta,,Palermo,-34.58095,-58.40461,Entire home/apt,3406,4,7,2019-09-20,0.07,2,24
27631,Apartment for rent in Recoleta,119446,Inés,,Recoleta,-34.591,-58.39039,Entire home/apt,2781,2,91,2019-08-31,0.82,1,342
27991,One bedroom Apt on corner Corrientes and Araoz.,120567,Pablo,,Villa Crespo,-34.59984,-58.43692,Entire home/apt,3122,10,32,2019-05-01,0.29,2,365
28244,Loft in Palermo Hollywood.Pool 617,119613,Marcos,,Palermo,-34.57628,-58.43456,Entire home/apt,3008,5,22,2019-08-01,0.32,7,83
29421,Best Location Las Cañitas 1 Bed Apt,126458,Adriana,,Palermo,-34.57066,-58.43211,Entire home/apt,2554,3,0,,,2,365
29983,Depto de 1 ambiente en Recoleta,129235,Carolina,,Recoleta,-34.59925,-58.3908,Entire home/apt,4427,2,0,,,1,365
29990,"Funky & Stylish Apartment, Palermo",129245,Savas,,Palermo,-34.58521,-58.42739,Entire home/apt,2781,3,154,2019-07-26,1.42,1,74
31469,Beautiful Apartment with a GARDEN,135120,Flor,,Palermo,-34.56887,-58.4332,Entire home/apt,3746,1,7,2017-02-28,0.12,3,359
31514,BEAUTY DUPLEX LOFT #4 SAN TELMO,64880,Elbio Mariano,,Monserrat,-34.61555,-58.37612,Entire home/apt,4257,1,26,2018-02-25,0.24,11,351
31920,Beautifull apartment in Belgrano!,137373,Nancy,,Belgrano,-34.56483,-58.46014,Entire home/apt,3406,30,0,,,1,365
35703,Charming studio in Palermo,150763,Viviana,,Recoleta,-34.59103,-58.40781,Entire home/apt,2270,4,78,2019-09-02,0.76,1,295
