id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
14576,Dp Valen Castillo 1600,14972,Bruno,,Santiago,-33.46413,-70.64869,Entire home/apt,67025,5,0,,,1,363
34552,Big nd nice room + private bathroom,149223,Gladys,,Santiago,-33.46354,-70.64851,Private room,32172,3,0,,,1,365
47936,My Flat in English,218471,Nelsk,,Santiago,-33.44791,-70.63547,Private room,36864,1,0,,,1,365
49392,Share my Flat in Providencia,224592,Maria,,Providencia,-33.43266,-70.60072,Private room,36864,3,0,,,3,178
50466,Great apartment at a great location,231631,Marco,,Santiago,-33.4363,-70.6539,Entire home/apt,56971,1,0,,,1,365
50474,Air conditioned wifi  las condes,231667,Marcela,,Las Condes,-33.41014,-70.57585,Entire home/apt,36864,1,90,2019-02-19,1.37,7,327
52811,Suite Providencia 1 Santiago Chile,244792,Cristián,,Providencia,-33.42889,-70.61988,Entire home/apt,50269,1,42,2018-04-10,0.41,3,363
53564,Arriendo habit en Santiago de Chile,249717,Maria,,Ñuñoa,-33.44733,-70.61122,Private room,38874,1,0,,,1,365
53917,Estudio un ambiente Metro Bellas Artes,252213,Patricia,,Santiago,-33.43524,-70.64544,Entire home/apt,28150,60,7,2019-01-15,2.16,1,33
55303,Departamento Amoblado en Santiago,261079,Hernan,,Providencia,-33.42329,-70.60886,Entire home/apt,73727,2,2,2016-11-28,0.05,4,365
55606,internet wi fi,262785,Arpitelas,,Providencia,-33.4388,-70.60971,Private room,53620,1,0,,,1,365
55884,APARTMENT BARRIO HISTORICO  1 to3 GUESTS floor 7th,264378,Raúl,,Santiago,-33.43518,-70.65786,Entire home/apt,22788,2,208,2019-03-04,2.09,17,314
62768,habitacion amoblada frente al metro,305883,Susy,,Providencia,-33.44376,-70.63061,Private room,36864,1,0,,,1,365
65058,Dpto amoblado centro historico,318016,Patricio,,Recoleta,-33.43049,-70.64135,Private room,40215,2,0,,,1,365
68634,"Room with a view, and private bathroom",224592,Maria,,Providencia,-33.43384,-70.5994,Private room,39545,4,2,2017-11-23,0.08,3,0
69050,Modern Apt in Heart of Santiago,344461,Ben,,Santiago,-33.44755,-70.65298,Entire home/apt,46917,2,7,2016-01-14,0.07,1,365
73752,Barrio Lastarria,374124,Daniela&Ricardo,,Santiago,-33.43868,-70.64414,Private room,53620,3,0,,,1,365
80482,Room Private for Woman,154527,Jacqueline,,La Florida,-33.51918,-70.59149,Private room,18097,2,0,,,1,363
83677,Loft in Pocuro,456388,Keno,,Providencia,-33.43159,-70.59202,Entire home/apt,97186,1,0,,,1,365
85324,BEAUTIFUL APARTMENT!!! IN DOWNTOWN.,467328,Mirochlava,,Santiago,-33.45417,-70.652,Entire home/apt,40215,1,10,2018-02-20,0.10,2,347
88731,Rent Nice private room and bathroom,484432,Ximena,,Las Condes,-33.4106,-70.57523,Private room,23459,3,39,2018-11-16,0.46,2,365
88944,COZY APT. PROVIDENCIA METRO WIFI TV,485358,Macarena,,Providencia,-33.4222,-70.60846,Entire home/apt,26810,3,138,2019-02-25,1.53,1,270
89101,Hospedaje por noche en Ñuñoa,485821,Flavio E,,Ñuñoa,-33.46315,-70.62546,Private room,30161,1,0,,,2,365
90305,Pieza privada,489823,M. Angélica,,Santiago,-33.44632,-70.63268,Private room,20107,1,0,,,1,365
90629,Hermoso departamento individual,491051,Marcy-Lú,,Santiago,-33.43787,-70.64082,Entire home/apt,67025,3,0,,,1,365
90694,Apartment x Rent in Providencia 802,491253,Hector,,Providencia,-33.4259,-70.61692,Entire home/apt,48928,2,54,2019-02-28,0.57,3,339
92240,Habitación baño privado y desayuno.,496727,Bernardita,,Estación Central,-33.46215,-70.72403,Private room,26810,1,47,2018-05-29,0.61,3,362
94147,"Great house in Santiago, Las Condes",493996,Abraham,,Las Condes,-33.39929,-70.54542,Private room,32842,1,2,2011-12-07,0.02,1,365
95139,Room Family Home,506998,Rafael,,Santiago,-33.43665,-70.67835,Private room,47588,7,0,,,1,365
95210,Pieza Privada,507210,Claudio Santiago,,Conchalí,-33.3673,-70.69389,Private room,46917,3,0,,,1,365
96722,Private bathroom room in Las Condes,513040,Elby,,Las Condes,-33.42532,-70.58566,Private room,40215,1,0,,,1,365
98040,Room with Bathroom,517997,Mario,,Ñuñoa,-33.45085,-70.62732,Private room,26810,1,0,,,1,365
98989,Rent Furnished Apartment,521687,Priscila,,Santiago,-33.44857,-70.63874,Entire home/apt,187670,1,0,,,1,365
99397,departamento Peñalolén Alto,523449,María Isabel,,Peñalolén,-33.47162,-70.52194,Entire home/apt,33512,1,0,,,2,365
100057,DEPARTAMENTO CENTRO DE SANTIAGO,526328,Fernando,,Santiago,-33.43199,-70.65789,Private room,53620,14,2,2012-02-13,0.02,1,365
100230,"Apartment Providencia, Santiago",527076,Julio Mauricio,,Santiago,-33.44479,-70.64496,Private room,33512,1,0,,,1,318
100697,departamentos para turistas ,528781,Lilian,,Las Condes,-33.42645,-70.56638,Private room,43566,3,0,,,7,365
100698,departamentos para turistas ,528781,Lilian,,Las Condes,-33.42522,-70.5656,Private room,43566,3,0,,,7,365
100699,departamentos para turistas ,528781,Lilian,,Providencia,-33.42365,-70.61519,Private room,43566,3,0,,,7,365
100702,two-room apartment,528781,Lilian,,Providencia,-33.42523,-70.61546,Private room,43566,3,2,2018-01-07,0.13,7,365
100908,Bedroom in the historic center,529480,Nitza,,Santiago,-33.43876,-70.67051,Private room,13405,3,75,2017-10-30,0.79,1,365
100928, Depto amoblado  metro santa Ana,529578,Patricia,,Santiago,-33.43419,-70.65823,Entire home/apt,26810,3,3,2016-12-27,0.03,3,364
102444,Safe and Comfortable apartment,535515,Joel,,La Florida,-33.55981,-70.55494,Shared room,53620,1,0,,,1,365
102944,A bedroom on the ground floor,537331,Susana,,Providencia,-33.44758,-70.63147,Private room,25469,3,0,,,1,90
105157,Private and Great room in Beautiful Central House!,546385,Alegna,,Ñuñoa,-33.45086,-70.61936,Private room,12064,1,1,2016-02-04,0.03,3,364
106444,Private with a view to Los Andes,550736,Gonzalo,,Las Condes,-33.42271,-70.57508,Private room,134050,2,0,,,1,365
106529,room in family house,552101,Juan,,Ñuñoa,-33.44813,-70.60571,Private room,26810,1,0,,,1,365
106795,departamento santiago centro,552381,Nora,,Santiago,-33.43974,-70.65493,Entire home/apt,53620,1,0,,,1,365
107508,apartment in beautiful neighborhood,556861,Steffany,,Providencia,-33.44119,-70.60346,Private room,63674,1,0,,,1,365
113191,private room close to the subway,576184,Jose Antonio,,Las Condes,-33.42917,-70.58161,Private room,30161,1,0,,,1,365
